method,noise_mult,pi_s,huber_k,repeat,value
rftl_s,2,0.05,1.345,44,0.06877085660033413
rftl_s,2,0.05,1.345,45,0.108234066365912
rftl_s,2,0.05,1.345,46,0.06398002260748402
rftl_s,2,0.05,1.345,47,0.062491682504792555
rftl_s,2,0.05,1.345,48,0.08000708811549369
rftl_s,2,0.05,1.345,49,0.051221368602781384
rftl_s_prec,2,0.05,2.0,0,1.0
rftl_s_prec,2,0.05,2.0,1,0.6
rftl_s_prec,2,0.05,2.0,2,0.75
rftl_s_prec,2,0.05,2.0,3,0.5454545454545454
rftl_s_prec,2,0.05,2.0,4,0.75
rftl_s_prec,2,0.05,2.0,5,0.6666666666666666
rftl_s_prec,2,0.05,2.0,6,1.0
rftl_s_prec,2,0.05,2.0,7,1.0
rftl_s_prec,2,0.05,2.0,8,0.75
rftl_s_prec,2,0.05,2.0,9,0.75
rftl_s_prec,2,0.05,2.0,10,0.5454545454545454
rftl_s_prec,2,0.05,2.0,11,0.5
rftl_s_prec,2,0.05,2.0,12,0.6
rftl_s_prec,2,0.05,2.0,13,0.75
rftl_s_prec,2,0.05,2.0,14,0.75
rftl_s_prec,2,0.05,2.0,15,0.6
rftl_s_prec,2,0.05,2.0,16,0.5454545454545454
rftl_s_prec,2,0.05,2.0,17,0.75
rftl_s_prec,2,0.05,2.0,18,1.0
rftl_s_prec,2,0.05,2.0,19,0.6666666666666666
rftl_s_prec,2,0.05,2.0,20,0.8571428571428571
rftl_s_prec,2,0.05,2.0,21,0.8571428571428571
rftl_s_prec,2,0.05,2.0,22,0.6666666666666666
rftl_s_prec,2,0.05,2.0,23,0.75
rftl_s_prec,2,0.05,2.0,24,0.6
rftl_s_prec,2,0.05,2.0,25,0.24
rftl_s_prec,2,0.05,2.0,26,0.5454545454545454
rftl_s_prec,2,0.05,2.0,27,0.8571428571428571
rftl_s_prec,2,0.05,2.0,28,0.8571428571428571
rftl_s_prec,2,0.05,2.0,29,0.46153846153846156
rftl_s_prec,2,0.05,2.0,30,0.8571428571428571
rftl_s_prec,2,0.05,2.0,31,0.6
rftl_s_prec,2,0.05,2.0,32,1.0
rftl_s_prec,2,0.05,2.0,33,1.0
rftl_s_prec,2,0.05,2.0,34,0.46153846153846156
rftl_s_prec,2,0.05,2.0,35,0.5454545454545454
rftl_s_prec,2,0.05,2.0,36,0.8571428571428571
rftl_s_prec,2,0.05,2.0,37,0.75
rftl_s_prec,2,0.05,2.0,38,0.8571428571428571
rftl_s_prec,2,0.05,2.0,39,1.0
rftl_s_prec,2,0.05,2.0,40,0.5454545454545454
rftl_s_prec,2,0.05,2.0,41,0.75
rftl_s_prec,2,0.05,2.0,42,0.46153846153846156
rftl_s_prec,2,0.05,2.0,43,0.8571428571428571
rftl_s_prec,2,0.05,2.0,44,0.8571428571428571
rftl_s_prec,2,0.05,2.0,45,0.8571428571428571
rftl_s_prec,2,0.05,2.0,46,0.6
rftl_s_prec,2,0.05,2.0,47,0.25
rftl_s_prec,2,0.05,2.0,48,0.75
rftl_s_prec,2,0.05,2.0,49,0.8571428571428571
rftl_s_rec,2,0.05,2.0,0,1.0
rftl_s_rec,2,0.05,2.0,1,1.0
rftl_s_rec,2,0.05,2.0,2,1.0
rftl_s_rec,2,0.05,2.0,3,1.0
rftl_s_rec,2,0.05,2.0,4,1.0
rftl_s_rec,2,0.05,2.0,5,1.0
rftl_s_rec,2,0.05,2.0,6,1.0
rftl_s_rec,2,0.05,2.0,7,1.0
rftl_s_rec,2,0.05,2.0,8,1.0
rftl_s_rec,2,0.05,2.0,9,1.0
rftl_s_rec,2,0.05,2.0,10,1.0
rftl_s_rec,2,0.05,2.0,11,1.0
rftl_s_rec,2,0.05,2.0,12,1.0
rftl_s_rec,2,0.05,2.0,13,1.0
rftl_s_rec,2,0.05,2.0,14,1.0
rftl_s_rec,2,0.05,2.0,15,1.0
rftl_s_rec,2,0.05,2.0,16,1.0
rftl_s_rec,2,0.05,2.0,17,1.0
rftl_s_rec,2,0.05,2.0,18,1.0
rftl_s_rec,2,0.05,2.0,19,1.0
rftl_s_rec,2,0.05,2.0,20,1.0
rftl_s_rec,2,0.05,2.0,21,1.0
rftl_s_rec,2,0.05,2.0,22,1.0
rftl_s_rec,2,0.05,2.0,23,1.0
rftl_s_rec,2,0.05,2.0,24,1.0
rftl_s_rec,2,0.05,2.0,25,1.0
rftl_s_rec,2,0.05,2.0,26,1.0
rftl_s_rec,2,0.05,2.0,27,1.0
rftl_s_rec,2,0.05,2.0,28,1.0
rftl_s_rec,2,0.05,2.0,29,1.0
rftl_s_rec,2,0.05,2.0,30,1.0
rftl_s_rec,2,0.05,2.0,31,1.0
rftl_s_rec,2,0.05,2.0,32,1.0
rftl_s_rec,2,0.05,2.0,33,1.0
rftl_s_rec,2,0.05,2.0,34,1.0
rftl_s_rec,2,0.05,2.0,35,1.0
rftl_s_rec,2,0.05,2.0,36,1.0
rftl_s_rec,2,0.05,2.0,37,1.0
rftl_s_rec,2,0.05,2.0,38,1.0
rftl_s_rec,2,0.05,2.0,39,1.0
rftl_s_rec,2,0.05,2.0,40,1.0
rftl_s_rec,2,0.05,2.0,41,1.0
rftl_s_rec,2,0.05,2.0,42,1.0
rftl_s_rec,2,0.05,2.0,43,1.0
rftl_s_rec,2,0.05,2.0,44,1.0
rftl_s_rec,2,0.05,2.0,45,1.0
rftl_s_rec,2,0.05,2.0,46,1.0
rftl_s_rec,2,0.05,2.0,47,1.0
rftl_s_rec,2,0.05,2.0,48,1.0
rftl_s_rec,2,0.05,2.0,49,1.0
rftl_s,2,0.05,2.0,0,0.07012718760266586
rftl_s,2,0.05,2.0,1,0.05195045255627193
rftl_s,2,0.05,2.0,2,0.044926490278304705
rftl_s,2,0.05,2.0,3,0.07596034415338913
rftl_s,2,0.05,2.0,4,0.0672502179718301
rftl_s,2,0.05,2.0,5,0.0874201182514251
rftl_s,2,0.05,2.0,6,0.060281824236317186
rftl_s,2,0.05,2.0,7,0.07257895927573017
rftl_s,2,0.05,2.0,8,0.04329348997635848
rftl_s,2,0.05,2.0,9,0.06742611737473811
rftl_s,2,0.05,2.0,10,0.0637937276029223
rftl_s,2,0.05,2.0,11,0.08517815566685398
rftl_s,2,0.05,2.0,12,0.07629513303352585
rftl_s,2,0.05,2.0,13,0.07310152411164693
rftl_s,2,0.05,2.0,14,0.040638702289785715
rftl_s,2,0.05,2.0,15,0.06688631497079985
rftl_s,2,0.05,2.0,16,0.07252242696230667
rftl_s,2,0.05,2.0,17,0.08076909412969714
rftl_s,2,0.05,2.0,18,0.07187384465842114
rftl_s,2,0.05,2.0,19,0.09519902837773894
rftl_s,2,0.05,2.0,20,0.058886596700864206
rftl_s,2,0.05,2.0,21,0.11254883975331917
rftl_s,2,0.05,2.0,22,0.07056675447743772
rftl_s,2,0.05,2.0,23,0.06642025745470019
rftl_s,2,0.05,2.0,24,0.07315692936360814
rftl_s,2,0.05,2.0,25,0.04796622281992836
rftl_s,2,0.05,2.0,26,0.08356180961288094
rftl_s,2,0.05,2.0,27,0.07439569508166083
rftl_s,2,0.05,2.0,28,0.06361760932831632
rftl_s,2,0.05,2.0,29,0.05450063357683072
rftl_s,2,0.05,2.0,30,0.05603742231984187
rftl_s,2,0.05,2.0,31,0.05266968924713764
rftl_s,2,0.05,2.0,32,0.03951748204306531
rftl_s,2,0.05,2.0,33,0.07932570772320435
rftl_s,2,0.05,2.0,34,0.08923296095453555
rftl_s,2,0.05,2.0,35,0.05315165060618865
rftl_s,2,0.05,2.0,36,0.07358391552529832
