repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
1,clean,0,0.0,"[10, 10, 11]",2.764790900324863,1039.231487741779,176.00718106233163,"(9, 9, 9)",729.0
1,baseline,2,0.1,"[2, 2, 3]",,inf,,None,
1,baseline,2,0.1,"[3, 3, 4]",0.08885708353997476,-90.86775429074093,0.14023123062619003,"(3, 3, 3)",27.0
1,baseline,2,0.1,"[4, 4, 5]",0.07808237674383371,-100.23203511352918,0.10325703451573268,"(3, 3, 4)",36.0
1,baseline,2,0.1,"[5, 5, 6]",0.2990631807336775,133.6462242981959,1.7520217467574075,"(5, 4, 5)",100.0
1,baseline,2,0.1,"[6, 6, 7]",0.2700889344733602,158.9245862916722,1.1603748562565177,"(5, 5, 6)",150.0
1,baseline,2,0.1,"[7, 7, 9]",4.827907302536344,621.5568968741046,473.088093136539,"(6, 6, 7)",252.0
1,baseline,2,0.1,"[8, 8, 9]",2.433967061590428,625.6564137480144,111.1566234839428,"(7, 7, 7)",343.0
1,baseline,2,0.1,"[9, 9, 11]",15.031523087067747,1017.8110050172896,4583.340678260228,"(8, 8, 8)",512.0
1,baseline,2,0.1,"[10, 10, 11]",3.7099024997686723,914.5488229441908,282.16172018673757,"(8, 8, 9)",576.0
1,baseline,2,0.3,"[2, 2, 3]",0.06685392983035592,-134.78097657043688,0.09257992598587446,"(2, 2, 2)",8.0
1,baseline,2,0.3,"[3, 3, 4]",0.07520582597720805,-106.10597743494571,0.1087794373628194,"(3, 3, 3)",27.0
1,baseline,2,0.3,"[4, 4, 5]",0.07863695580759147,-95.19375402259462,0.11230211689679379,"(3, 3, 4)",36.0
1,baseline,2,0.3,"[5, 5, 6]",0.21162206511248,117.9985398433864,0.8898601151389787,"(5, 5, 5)",125.0
1,baseline,2,0.3,"[6, 6, 7]",4.0949846339083065,506.0576468591734,377.7732373134168,"(5, 5, 6)",150.0
1,baseline,2,0.3,"[7, 7, 9]",1.7552580264894884,500.1432396012237,62.53464105135119,"(6, 6, 7)",252.0
1,baseline,2,0.3,"[8, 8, 9]",1.6871613727247217,589.6677762038739,61.015602087647636,"(7, 7, 7)",343.0
1,baseline,2,0.3,"[9, 9, 11]",9.763076031266229,960.4731693322333,1762.6133103917155,"(8, 8, 8)",512.0
1,baseline,2,0.3,"[10, 10, 11]",2.3180863730576777,857.3027945988329,108.67697063312768,"(8, 8, 9)",576.0
1,baseline,10,0.1,"[2, 2, 3]",0.10270061992403723,-103.19572155895192,0.15672509024848305,"(2, 2, 2)",8.0
1,baseline,10,0.1,"[3, 3, 4]",0.07364394386721923,-129.4407720620934,0.0946711282654596,"(2, 2, 3)",12.0
1,baseline,10,0.1,"[4, 4, 5]",0.07671567683923658,-82.59687158557222,0.11342487829571014,"(4, 3, 4)",48.0
1,baseline,10,0.1,"[5, 5, 6]",0.1685953238853764,41.36225595138775,0.525207214061922,"(4, 4, 5)",80.0
1,baseline,10,0.1,"[6, 6, 7]",0.3137854373516555,183.11462435386883,1.7365673995542663,"(5, 5, 6)",150.0
1,baseline,10,0.1,"[7, 7, 9]",0.5471496814702019,348.9900629673292,5.035440699025214,"(6, 6, 7)",252.0
1,baseline,10,0.1,"[8, 8, 9]",0.8056221513793455,440.19597378337164,11.434093647295109,"(6, 7, 7)",294.0
1,baseline,10,0.1,"[9, 9, 11]",0.5811431494234484,610.0467214247384,5.855874568282653,"(7, 8, 9)",504.0
1,baseline,10,0.1,"[10, 10, 11]",0.7072924506705829,775.939464118723,8.43444909423904,"(8, 9, 9)",648.0
1,baseline,10,0.3,"[2, 2, 3]",0.08955296459224994,-113.92197074917708,0.13106880746910177,"(2, 2, 2)",8.0
1,baseline,10,0.3,"[3, 3, 4]",0.059195727185261365,-145.0339946189223,0.056856015908813534,"(3, 3, 3)",27.0
1,baseline,10,0.3,"[4, 4, 5]",0.045071461493282144,-160.8646712252386,0.037587720899135764,"(3, 3, 4)",36.0
1,baseline,10,0.3,"[5, 5, 6]",0.10164620889935451,-3.940352475439255,0.1768701895360182,"(5, 4, 5)",100.0
