repeat,method,mode,amplitude,pi_s,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
1,baseline,hot_block,10.0,0.3,70.40274982481597,0.14285714285714285,0.5909090909090909,0.7792207792207793,30.0,91.24381246304843,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688406702,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.3,70.40274982482396,0.14285714285714285,0.5909090909090909,0.7792207792207793,30.0,91.24381246309788,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884064052,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.6,2317.8826825258643,0.0,0.0,0.7142857142857142,,277.3751604548711,0.0,0.32,0.7485714285714287,23.0,347.2614585747107,0.0,0.5555555555555556,0.9259259259259259,28.0,,
1,rftl_s,hot_block,10.0,0.6,179.11148699543298,0.0,0.09090909090909091,0.7857142857142856,17.0,104.99603348210266,0.2857142857142857,0.8,0.88,31.0,144.51022964143596,0.125,0.8518518518518519,0.9490740740740741,28.0,1.0,1.0
1,baseline,stripe,10.0,0.3,58.50120073409586,0.7142857142857143,1.0,0.8051948051948051,32.0,91.21731759830004,0.42857142857142855,0.88,0.8914285714285713,32.0,129.379905936233,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,stripe,10.0,0.3,58.50978211659023,0.7142857142857143,1.0,0.8051948051948051,32.0,91.243812463121,0.42857142857142855,0.88,0.8914285714285713,32.0,129.88256151181096,0.375,0.9259259259259259,0.9444444444444444,28.0,0.0,0.0
1,baseline,stripe,10.0,0.6,59.697051666003844,0.7142857142857143,1.0,0.7922077922077922,32.0,91.24381384912127,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884064356,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,stripe,10.0,0.6,59.69705166593307,0.7142857142857143,1.0,0.7922077922077922,32.0,91.2438050946879,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688405979,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
2,clean,none,0.0,0.0,54.44919441622027,0.8571428571428571,0.9545454545454546,0.6623376623376623,32.0,93.92584687166621,0.375,0.875,0.8697916666666666,31.0,135.25886407772103,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,baseline,hot_block,10.0,0.3,316.0964269415769,0.0,0.0,0.7077922077922078,,98.20716220859511,0.5,0.875,0.84375,31.0,136.25870736833787,0.2222222222222222,0.8076923076923077,0.888888888888889,33.0,,
2,rftl_s,hot_block,10.0,0.3,72.98018854058253,0.14285714285714285,0.45454545454545453,0.7272727272727273,32.0,93.92584687161187,0.375,0.875,0.8697916666666666,31.0,135.2588640777381,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
2,baseline,hot_block,10.0,0.6,59.626969440118934,0.5714285714285714,0.8636363636363636,0.7467532467532467,32.0,93.92584687160864,0.375,0.875,0.8697916666666666,31.0,135.25886407762783,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.6,59.62696944014407,0.5714285714285714,0.8636363636363636,0.7467532467532467,32.0,93.92584687162727,0.375,0.875,0.8697916666666666,31.0,135.2588640777661,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
2,baseline,stripe,10.0,0.3,54.44532698364997,0.7142857142857143,0.9545454545454546,0.6948051948051949,32.0,93.92584687171018,0.375,0.875,0.8697916666666666,31.0,135.25886407767086,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,stripe,10.0,0.3,54.44532698358931,0.7142857142857143,0.9545454545454546,0.6948051948051949,32.0,93.92584687165589,0.375,0.875,0.8697916666666666,31.0,135.25886407775997,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
2,baseline,stripe,10.0,0.6,55.064629726094786,0.7142857142857143,0.9090909090909091,0.6818181818181818,32.0,93.92584687165906,0.375,0.875,0.8697916666666666,31.0,135.25886407769445,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,stripe,10.0,0.6,55.064629726118625,0.7142857142857143,0.9090909090909091,0.6818181818181818,32.0,93.92584687166556,0.375,0.875,0.8697916666666666,31.0,135.2588640777878,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
