method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
oracle,hot_block,0.3,,6,"[3, 3, 4]",0.14164233927807512,0.059443979370035,0.030241309365311116,0.11419076781823949,0.29652158030372566,0.09668396661130135,0.05920018404961375,0.04961558178678871,0.06920525348088578,0.05811072983943141,
oracle,hot_block,0.3,,7,"[4, 4, 5]",0.09465616868345525,0.07273530961699289,0.026193478537082166,0.12736217941798775,0.16543266524091896,0.14031903193601997,0.058464180471302196,0.044291243206984826,0.06007166033814463,0.057001077751637874,
oracle,hot_block,0.3,,8,"[2, 2, 3]",0.16341837976886245,0.07621495960511948,0.03790496176493026,0.13475656612728187,0.33057753299164483,0.08170290488925917,0.05906272887580953,0.04623723395101327,0.10061487743913293,0.09069189116152057,
oracle,hot_block,0.3,,9,"[3, 3, 4]",0.09040666908501525,0.05398677457042195,0.019615844170966103,0.09785278439125061,0.1961709287676922,0.18773203204768824,0.03354968952042385,0.03712646432113857,0.041499388966929625,0.034083227800355956,
oracle,hot_block,0.3,,10,"[3, 3, 4]",0.09700492431181996,0.06430971864132816,0.030064883079123833,0.09706322273315156,0.1758432338063441,0.10711400006812041,0.06259813538386358,0.04944738847405536,0.05257340374525217,0.048092286614883156,
oracle,hot_block,0.3,,11,"[2, 2, 3]",0.07834721699624554,0.058459192179619715,0.030369975043838173,0.09155875303435501,0.10122314535319743,0.07048353280531444,0.061573766194139935,0.053314038462497784,0.07224473944139921,0.05216337388665969,
oracle,hot_block,0.3,,12,"[5, 5, 6]",0.11018143282888052,0.09697070115960921,0.044796964474158645,0.1455684089880949,0.14119521535357285,0.13251584195942478,0.10796187366959076,0.08385176466924663,0.08138720946347792,0.06872467433596298,
oracle,hot_block,0.3,,13,"[4, 4, 5]",0.2061145595439114,0.04071868297209226,0.020240311534566003,0.11139476514140348,0.47263334670875745,0.05159652555735415,0.045950925283274324,0.03263317448228906,0.09975940663970248,0.06676490825845241,
oracle,hot_block,0.3,,14,"[4, 4, 5]",0.17882129804445115,0.045684400586406396,0.026120790180108492,0.08693228151215328,0.4481845376004512,0.09965344686387637,0.04963253367494055,0.04059215989391317,0.038646822857961574,0.03767309842595484,
oracle,hot_block,0.3,,15,"[2, 2, 3]",0.12255869180010218,0.0990767083794975,0.06413320960966609,0.1625193155453866,0.13182567339193235,0.09972416841337005,0.14847706078344597,0.09972018431929257,0.08737334122492814,0.07397439517100424,
oracle,hot_block,0.3,,16,"[3, 3, 4]",0.05480996028675844,0.03780140491074274,0.021484441304389063,0.06987553832344907,0.06655203175986919,0.040500437498782904,0.05228842452055012,0.03385999461120841,0.04558942457985602,0.042732670480542786,
oracle,hot_block,0.3,,17,"[3, 3, 4]",0.13208183687422953,0.049920896678061204,0.02263541229266528,0.09499119421604457,0.2795435959995228,0.08227368608306115,0.04300181837869082,0.03910537214909983,0.07370009624447509,0.046595840252941216,
oracle,hot_block,0.3,,18,"[4, 4, 5]",0.16348916816150105,0.1082772299601094,0.04385746102821527,0.20217330490329657,0.2911880500370855,0.260475079548065,0.10588016793623053,0.08652953831388446,0.09339928651118726,0.0976339509278358,
oracle,hot_block,0.3,,19,"[5, 5, 6]",0.1769603468584619,0.1463036972138385,0.060390758378393104,0.2529760108681325,0.1446304969957043,0.10880058104955784,0.1608461099100545,0.15170306598748975,0.22540443366962695,0.2045015706582027,
oracle,hot_block,0.3,,20,"[3, 3, 4]",0.07820744780750408,0.05873242384756533,0.03499379849166875,0.09727332509666062,0.07402637160830976,0.050438767418738484,0.08266833822911743,0.07547139486371143,0.07792763358508498,0.05687403081531414,
oracle,hot_block,0.3,,21,"[2, 2, 3]",0.12063856751083203,0.09285226600538109,0.039887562574754384,0.15828584709796759,0.17083055106111195,0.13845558683440257,0.07390532192028634,0.060302250746774005,0.11717982955109778,0.0925213670010967,
oracle,hot_block,0.3,,22,"[4, 4, 5]",0.08735285076626044,0.07044955114635709,0.03444005282962536,0.11662267748495969,0.10858844379662462,0.07499087731474727,0.07426713828691231,0.06953391888729415,0.07920297021524439,0.06258394612847434,
oracle,hot_block,0.3,,23,"[3, 3, 4]",0.2884090872684562,0.05190160469632796,0.027253280248979536,0.10553904932672563,0.759461177925177,0.09502133262565743,0.04391373554380553,0.04526996395230891,0.06185234833638607,0.03641461508049514,
oracle,hot_block,0.3,,24,"[2, 2, 3]",0.10463030857799524,0.07904954739252508,0.033601331312309676,0.1301427600223376,0.13975478320817264,0.10886809750507918,0.12145737608110148,0.08785957703303378,0.05267876644471161,0.03522455896233985,
oracle,hot_block,0.3,,25,"[4, 4, 5]",0.0736235681803549,0.04890330949427816,0.028220582272577004,0.09449939156408882,0.12030334424929714,0.0910003301607351,0.039835341589912164,0.03464503515857226,0.06073201870185537,0.04132183559303651,
oracle,hot_block,0.3,,26,"[3, 3, 4]",0.07573998354662474,0.049211512699347176,0.026510912778887924,0.0907898858527884,0.12049235077213664,0.07787999553763422,0.04510417366220043,0.03640419685889277,0.0616234262055371,0.06215488093299311,
oracle,hot_block,0.3,,27,"[4, 4, 5]",0.08734729700549801,0.059474165626963435,0.02921239584521628,0.10473304898357269,0.14058363471852958,0.1038429868345358,0.06970180826569586,0.05532678323163556,0.051756448032268546,0.04849940097831059,
oracle,hot_block,0.3,,28,"[4, 4, 5]",0.4052088817912101,0.07250579768976304,0.027884330517853828,0.14540904116670894,1.0699688909161178,0.20755536787646106,0.07753160001933011,0.07250579768976304,0.06812615443818235,0.0472699519264195,
oracle,hot_block,0.3,,29,"[3, 3, 4]",0.12270681073771672,0.04375213576856182,0.014525765137541957,0.09473132711008378,0.2623039090618056,0.05352035246892348,0.05028561430009557,0.0387577622637614,0.055530908851248985,0.04681147132333868,
