method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
baseline,hot_block,0.3,,3,"[2, 2, 3]",0.06920339619864593,0.05958871586879646,0.0266200887233938,0.10101214124497047,0.08691541512829745,0.0864224355572975,0.07216977176494205,0.05150740739993777,0.048525001702698294,0.04477639968549508,
baseline,hot_block,0.3,,4,"[3, 3, 4]",0.07252597179321647,0.06218798564731495,0.030350597188606537,0.09781544897086487,0.08291211395304322,0.07710711167515688,0.0823573742855099,0.08680014970914823,0.05230842714109627,0.051506714470544473,
rftl_s_prec,hot_block,0.3,3.0,0,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,0.3,3.0,1,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,0.3,3.0,2,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,0.3,3.0,3,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,0.3,3.0,4,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,0.3,3.0,0,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,0.3,3.0,1,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,0.3,3.0,2,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,0.3,3.0,3,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,0.3,3.0,4,,,,,,,,,,,,0.0
rftl_s,hot_block,0.3,3.0,0,"[3, 3, 4]",0.06766349715291538,0.04450009176101591,0.021310935009706333,0.10198081276596088,0.053659519840543755,0.04450009176101591,0.06877048761991843,0.03772816497178771,0.08056048399828394,0.09750656224197707,
rftl_s,hot_block,0.3,3.0,1,"[3, 3, 4]",0.07062588455767857,0.051256598078328025,0.036318184625214966,0.09574285529656101,0.06404073800236616,0.049349857955760454,0.08861406131648794,0.06966144926635615,0.059222854354181606,0.046111938576117166,
rftl_s,hot_block,0.3,3.0,2,"[3, 3, 4]",0.05683750411723625,0.05022875228676019,0.023738951551065396,0.07575550694307522,0.03247616614723233,0.028402729129536855,0.05397792216599475,0.05308190535298808,0.08405842403848167,0.07270293958628549,
rftl_s,hot_block,0.3,3.0,3,"[2, 2, 3]",0.06920339619874753,0.05958871586873576,0.02662008872354785,0.10101214124497374,0.08691541512839954,0.08642243555744653,0.07216977176503889,0.05150740739980862,0.04852500170280413,0.04477639968570177,
rftl_s,hot_block,0.3,3.0,4,"[2, 2, 3]",0.07033521231694416,0.06516750839285575,0.04069172730112156,0.0841394802417174,0.045414786074929034,0.034788309500467296,0.09880672741378312,0.08207279065265913,0.0667841234621204,0.06293155444682196,
oracle,hot_block,1.0,,0,"[5, 5, 6]",0.25379581972977217,0.17789791210799005,0.1101206065721295,0.33924389424997625,0.4528746987975244,0.49645172085964095,0.14532423182985782,0.13453281620902288,0.16318852856193422,0.16094280219788928,
oracle,hot_block,1.0,,1,"[2, 2, 3]",0.3853638733628889,0.1670469235181285,0.07745336654729776,0.7290595996929972,0.9170315779008653,0.8976756280296317,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725,
oracle,hot_block,1.0,,2,"[4, 4, 5]",0.15672704779236807,0.11485852421643472,0.045255410019442804,0.2219112521269694,0.28397632954155594,0.3085348686294027,0.08335644956976165,0.06542494891450139,0.10284836426578674,0.07776217950276046,
oracle,hot_block,1.0,,3,"[2, 2, 3]",0.08627984485083125,0.061948666691430024,0.034803428317476806,0.10129993386547906,0.15769294317252797,0.14259933570030325,0.03872136562012701,0.03539370818542869,0.062425225759838776,0.05394939990190131,
oracle,hot_block,1.0,,4,"[4, 4, 5]",0.45274651781233555,0.10997898981994522,0.039058508345600734,1.1260325979984513,1.220216417574877,1.2307926716008928,0.0723804552597268,0.06263781918162116,0.06564268060240307,0.06200197645034901,
baseline,hot_block,1.0,,0,"[3, 3, 4]",0.07385720309852967,0.049791083297619054,0.02144992047273998,0.10742205788876849,0.044477823201507796,0.03461156498042155,0.10595850390389139,0.06869885584801191,0.07113528219018984,0.05092685988628308,
baseline,hot_block,1.0,,1,"[4, 4, 5]",0.06462758955712436,0.0481622756634216,0.018466398979420467,0.10270644434861533,0.04997874336946213,0.03806486546508511,0.08599419768213008,0.0831359378081719,0.05790982761978088,0.046159934274911496,
baseline,hot_block,1.0,,2,"[3, 3, 4]",0.05234342878172995,0.04270473474131385,0.02681763796038733,0.0740071416191779,0.03539597925589183,0.030553035848918178,0.05469308046106477,0.051005933954726884,0.06694122662823324,0.06656095317887367,
baseline,hot_block,1.0,,3,"[3, 3, 4]",0.05712005114845762,0.04127955903527004,0.017657104150659218,0.07008430699802427,0.07077780115506807,0.04187207550565482,0.050188595148928386,0.04568743834281359,0.05039375714137637,0.036869951112402495,
baseline,hot_block,1.0,,4,"[3, 3, 4]",0.06327583805254432,0.05813846515790479,0.018323458384851526,0.09789592201114755,0.0396417113284364,0.03428061765010396,0.08155644408431785,0.08062224514533614,0.06862935874487867,0.07995215004330022,
rftl_s_prec,hot_block,1.0,3.0,0,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,1.0,3.0,1,,,,,,,,,,,,0.75
rftl_s_prec,hot_block,1.0,3.0,2,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,1.0,3.0,3,,,,,,,,,,,,0.0
rftl_s_prec,hot_block,1.0,3.0,4,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,1.0,3.0,0,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,1.0,3.0,1,,,,,,,,,,,,0.12
rftl_s_rec,hot_block,1.0,3.0,2,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,1.0,3.0,3,,,,,,,,,,,,0.0
rftl_s_rec,hot_block,1.0,3.0,4,,,,,,,,,,,,0.0
rftl_s,hot_block,1.0,3.0,0,"[3, 3, 4]",0.06867670300518007,0.0490187216281708,0.02537120040565973,0.1106144683602028,0.06343899427376107,0.04697771895392671,0.0689241433699913,0.049818558623640555,0.07366697137178782,0.051386324278391016,
rftl_s,hot_block,1.0,3.0,1,"[4, 4, 5]",0.06771953073249315,0.05950994640997664,0.024073963268943187,0.09958167608625297,0.05189705886422254,0.0326566027258149,0.07412889149406089,0.06581121635249038,0.07713264183919603,0.07037239325296502,
rftl_s,hot_block,1.0,3.0,2,"[3, 3, 4]",0.05234343020342903,0.04270473722243787,0.026817640140600445,0.07400714683207776,0.03539597931113452,0.030553035290685655,0.05469308143897441,0.051005931496546586,0.06694122986017817,0.06656095280111385,
rftl_s,hot_block,1.0,3.0,3,"[3, 3, 4]",0.056326058120233204,0.05143412538172347,0.02613282937630098,0.0702659716198904,0.06389899973063667,0.05482565713980432,0.0525909121204019,0.05376625972698253,0.05248826250966106,0.03997840084674242,
rftl_s,hot_block,1.0,3.0,4,"[3, 3, 4]",0.06404799059613756,0.054210110290465824,0.025727536578771703,0.0805153424619435,0.03912115309662559,0.02830571852034627,0.07613577562466178,0.06804643016758566,0.07688704306712527,0.06992442344164947,
oracle,stripe,0.3,,0,"[3, 3, 4]",0.16285950592401177,0.06920256807162216,0.04111506744591257,0.1364175182463365,0.33287534195207985,0.08677312459203851,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386,
oracle,stripe,0.3,,1,"[2, 2, 3]",0.15889428695044866,0.11566474539237581,0.04357649544863858,0.191222290761326,0.23762281866354468,0.1267523245660566,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725,
oracle,stripe,0.3,,2,"[3, 3, 4]",0.08094610176741218,0.06644953778967042,0.03502515968175418,0.10388229376096546,0.105148406148318,0.06850554329797637,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514,
oracle,stripe,0.3,,3,"[4, 4, 5]",0.08125282234428469,0.02649636701986128,0.016427918853334618,0.06947273471613058,0.17628026054378992,0.05512116291085964,0.03399212204744782,0.02512561353002114,0.0334860844416163,0.019057201358764653,
oracle,stripe,0.3,,4,"[3, 3, 4]",0.08837069051697119,0.06481572000577901,0.031880492100303776,0.11283372902476599,0.12515570628744657,0.09262306066978357,0.07162727913182047,0.06761264166920535,0.06832908613164647,0.045618299653932846,
baseline,stripe,0.3,,0,"[3, 3, 4]",0.06756969933358722,0.0550260104684373,0.03685021611252584,0.0851975224165817,0.05420950967767294,0.04946812001319624,0.08299192760911409,0.05588392813686706,0.0655076607139747,0.05822876428455123,
baseline,stripe,0.3,,1,"[4, 4, 5]",0.04939917065876717,0.04311814474675109,0.018743292725367892,0.06793688161424402,0.049384583872193924,0.04056295762184683,0.053686978592914415,0.047383657971196834,0.04512594951119314,0.042294728353281956,
baseline,stripe,0.3,,2,"[3, 3, 4]",0.06179066357077675,0.06556556124129596,0.0259441750967399,0.0905814772957466,0.06918727764101948,0.0651467332293944,0.049653163485670115,0.045373222849243944,0.06653154958564068,0.07933295299201226,
